titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
La Couleur des sentiments;26-oct-11;Drame;2h 26min;Tate Taylor;Emma Stone, Jessica Chastain, Viola Davis;émirati;Dans la petite ville de Jackson, Mississippi, durant les années 60, trois femmes que tout devait opposer vont nouer une incroyable amitié. Elles sont liées par un projet secret qui les met toutes en danger, l’écriture d’un livre qui remet en cause les conventions sociales les plus sensibles de leur époque. De cette alliance improbable va naître une solidarité extraordinaire. À travers leur engagement, chacune va trouver le courage de bouleverser l’ordre établi, et d’affronter tous les habitants de la ville qui refusent le vent du changement...;The Walt Disney Company France;9 prix et 27 nominations;29/02/2012;619 458 entrées;25 000 000 $;131176;2,6;4,4;20 critiques;15119 notes dont 1110 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=176673.html
1917;15-janv-20;Drame, Guerre;1h 59min;Sam Mendes;George MacKay, Dean-Charles Chapman, Mark Strong;américain;Pris dans la tourmente de la Première Guerre Mondiale, Schofield et Blake, deux jeunes soldats britanniques, se voient assigner une mission à proprement parler impossible. Porteurs d’un message qui pourrait empêcher une attaque dévastatrice et la mort de centaines de soldats, dont le frère de Blake, ils se lancent dans une véritable course contre la montre, derrière les lignes ennemies.;Universal Pictures International France;13 prix et 12 nominations;27/05/2020;2 203 337 entrées;-;152284;4,2;4,3;40 critiques;17200 notes dont 1313 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=265567.html
Le Garçon et la Bête;13-janv-16;Animation, Aventure;1h 58min;Mamoru Hosoda;Koji Yakusho, Aoi Miyazaki, Shôta Sometani;japonais;Shibuya, le monde des humains, et Jutengai, le monde des Bêtes... C'est l'histoire d'un garçon solitaire et d'une Bête seule, qui vivent chacun dans deux mondes séparés. Un jour, le garçon se perd dans le monde des Bêtes où il devient le disciple de la Bête Kumatetsu qui lui donne le nom de Kyuta. Cette rencontre fortuite est le début d'une aventure qui dépasse l'imaginaire...;Gaumont Distribution;-;27/05/2016;-;-;143562;4;4,3;22 critiques;3394 notes dont 186 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=236155.html
Toy Story 3;14-juil-10;Animation, Aventure, Fantastique, Comédie;1h 40min;Lee Unkrich;Jean-Philippe Puymartin, Richard Darbois, Benoît Magimel;américain;Les créateurs des très populaires films Toy Story ouvrent à nouveau le coffre à jouets et invitent les spectateurs à retrouver le monde délicieusement magique de Woody et Buzz au moment où Andy s'apprête à partir pour l'université. Délaissée, la plus célèbre bande de jouets se retrouve... à la crèche ! Les bambins déchaînés et leurs petits doigts capables de tout arracher sont une vraie menace pour nos amis ! Il devient urgent d'échafauder un plan pour leur échapper au plus vite. Quelques nouveaux venus vont se joindre à la Grande évasion, dont l'éternel séducteur et célibataire Ken, compagnon de Barbie, un hérisson comédien nommé Larosse, et un ours rose parfumé à la fraise appelé Lotso.;Walt Disney Studios Motion Pictures France;4 prix et 10 nominations;17/11/2010;4 247 306 entrées;200 000 000 $;126562;4,7;4,3;22 critiques;33838 notes dont 2862 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=126123.html
Warrior;14-sept-11;Action, Drame;2h 20min;Gavin O'Connor;Joel Edgerton, Tom Hardy, Jennifer Morrison;américain;Ancien Marine brisé, Tommy Conlon rentre au pays et demande à son père de le préparer pour un tournoi d’arts martiaux mixtes qui lui permettrait de gagner une fortune. Personne ne sait ce qu’il espère faire de cet argent. Le propre frère de Tommy, Brendan, décide lui aussi de s’engager dans la compétition pour essayer de sauver sa famille. Entre les deux frères, les années n’ont pas adouci les rancœurs.Immanquablement, les routes de Tommy et de Brendan vont bientôt se croiser. Au-delà de l’affrontement qui s’annonce, pour chacun, quelle que soit la cause qu’ils défendent, il n’est pas seulement question de remporter un prix, mais de mener le combat d’une vie…;Metropolitan FilmExport;3 nominations;17/01/2012;196 439 entrées;30 000 000 $;130932;3,6;4,3;20 critiques;8826 notes dont 988 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=138673.html
Au Revoir Là-haut;25-oct-17;Comédie dramatique;1h 57min;Albert Dupontel;Nahuel Perez Biscayart, Albert Dupontel, Laurent Lafitte;français;Novembre 1919. Deux rescapés des tranchées, l'un dessinateur de génie, l'autre modeste comptable, décident de monter une arnaque aux monuments aux morts. Dans la France des années folles, l'entreprise va se révéler aussi dangereuse que spectaculaire..;Gaumont Distribution;6 prix et 9 nominations;28/02/2018;2 088 336 entrées;-;141761;3,9;4,3;37 critiques;17146 notes dont 1223 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=230699.html
Les Aventuriers de l'Arche perdue;16-sept-81;Aventure, Action;1h 56min;Steven Spielberg;Harrison Ford, Karen Allen, Paul Freeman;américain;1936. Parti à la recherche d'une idole sacrée en pleine jungle péruvienne, l'aventurier Indiana Jones échappe de justesse à une embuscade tendue par son plus coriace adversaire : le Français René Belloq.Revenu à la vie civile à son poste de professeur universitaire d'archéologie, il est mandaté par les services secrets et par son ami Marcus Brody, conservateur du National Museum de Washington, pour mettre la main sur le Médaillon de Râ, en possession de son ancienne amante Marion Ravenwood, désormais tenancière d'un bar au Tibet.Cet artefact égyptien serait en effet un premier pas sur le chemin de l'Arche d'Alliance, celle-là même où Moïse conserva les Dix Commandements. Une pièce historique aux pouvoirs inimaginables dont Hitler cherche à s'emparer...;CIC;5 prix et 12 nominations;13/05/2008;6 397 117 entrées;22 000 000 $;54574;4,6;4,3;5 critiques;58786 notes dont 1542 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=121.html
Shining;16-oct-80;Epouvante-horreur, Thriller;2h 23min;Stanley Kubrick;Jack Nicholson, Shelley Duvall, Danny Lloyd;américain;Écrivain, Jack Torrance est engagé comme gardien, pendant tout l’hiver, d’un grand hôtel isolé du Colorado – l’Overlook – où il espère surmonter enfin sa panne d’inspiration. Il s’y installe avec sa femme Wendy et son fils Danny, doté d’un don de médium. Tandis que Jack n’avance pas dans son livre et que son fils est de plus en plus hanté par des visions terrifiantes, il découvre les terribles secrets de l’hôtel et bascule peu à peu dans une forme de folie meurtrière où il s’en prend à sa propre famille…;Warner Bros. France;2 nominations;29/06/1999;2 527 937 entrées;19 000 000 $;53091;4;4,3;5 critiques;48653 notes dont 2173 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=863.html
Les Figures de l'ombre;08-mars-17;Drame, Biopic;2h 07min;Theodore Melfi;Taraji P. Henson, Octavia Spencer, Janelle Monáe;américain;Le destin extraordinaire des trois scientifiques afro-américaines qui ont permis aux États-Unis de prendre la tête de la conquête spatiale, grâce à la mise en orbite de l’astronaute John Glenn.Maintenues dans l’ombre de leurs collègues masculins et dans celle d’un pays en proie à de profondes inégalités, leur histoire longtemps restée méconnue est enfin portée à l’écran.;Twentieth Century Fox France;1 prix et 10 nominations;12/07/2017;811 629 entrées;-;145919;3,3;4,3;21 critiques;9576 notes dont 495 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=219070.html
La Grande Vadrouille;08-déc-66;Comédie;2h 12min;Gérard Oury;Bourvil, Louis de Funès, Claudio Brook;britannique;"En 1942, un avion anglais est abattu par les Allemands au-dessus de Paris. Les trois pilotes sautent en parachute et atterrissent dans différents endroits de la capitale. Ils sont aidés par deux civils français, un chef d'orchestre et un peintre en bâtiment qui acceptent de les mener en zone libre; ils deviennent ainsi, malgré eux, acteurs de la Résistance.";-;-;21/05/2007;17 273 065 entrées;-;-;3,8;4,3;5 critiques;42942 notes dont 1151 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4307.html
The Dark Knight Rises;20-juil-12;Action, Thriller;2h 44min;Christopher Nolan;Christian Bale, Gary Oldman, Tom Hardy;britannique;Il y a huit ans, Batman a disparu dans la nuit : lui qui était un héros est alors devenu un fugitif. S'accusant de la mort du procureur-adjoint Harvey Dent, le Chevalier Noir a tout sacrifié au nom de ce que le commissaire Gordon et lui-même considéraient être une noble cause. Et leurs actions conjointes se sont avérées efficaces pour un temps puisque la criminalité a été éradiquée à Gotham City grâce à l'arsenal de lois répressif initié par Dent.Mais c'est un chat – aux intentions obscures – aussi rusé que voleur qui va tout bouleverser. À moins que ce ne soit l'arrivée à Gotham de Bane, terroriste masqué, qui compte bien arracher Bruce à l'exil qu'il s'est imposé. Pourtant, même si ce dernier est prêt à endosser de nouveau la cape et le casque du Chevalier Noir, Batman n'est peut-être plus de taille à affronter Bane…;Warner Bros. France;3 nominations;28/11/2012;4 385 032 entrées;250 000 000 $;134042;3,6;4,3;28 critiques;58982 notes dont 6378 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=132874.html
Edmond;09-janv-19;Comédie, Historique;1h 53min;Alexis Michalik;Thomas Solivérès, Olivier Gourmet, Mathilde Seigner;belge;Décembre 1897, Paris. Edmond Rostand n’a pas encore trente ans mais déjà deux enfants et beaucoup d’angoisses. Il n’a rien écrit depuis deux ans. En désespoir de cause, il propose au grand Constant Coquelin une pièce nouvelle, une comédie héroïque, en vers, pour les fêtes. Seul souci : elle n’est pas encore écrite. Faisant fi des caprices des actrices, des exigences de ses producteurs corses, de la jalousie de sa femme, des histoires de cœur de son meilleur ami et du manque d’enthousiasme de l’ensemble de son entourage, Edmond se met à écrire cette pièce à laquelle personne ne croit. Pour l’instant, il n’a que le titre : « Cyrano de Bergerac ».;Gaumont Distribution;1 prix et 5 nominations;09/05/2019;694 703 entrées;-;147739;3,6;4,3;25 critiques;5001 notes dont 542 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=256968.html
Léon;14-sept-94;Policier, Drame;1h 43min;Luc Besson;Jean Reno, Gary Oldman, Natalie Portman;français;"Un tueur à gages répondant au nom de Léon prend sous son aile Mathilda, une petite fille de douze ans, seule rescapée du massacre de sa famille. Bientôt, Léon va faire de Mathilda une ""nettoyeuse"", comme lui. Et Mathilda pourra venger son petit frère...";Gaumont Buena Vista International (GBVI);7 nominations;09/06/2000;3 549 608 entrées;115 000 000 Fr;82 525;2;4,3;5 critiques;73086 notes dont 2039 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=9684.html
Barry Lyndon;24-sept-76;Aventure, Drame;3h 07min;Stanley Kubrick;Ryan O'Neal, Marisa Berenson, Patrick Magee;américain;Au XVIIIe siècle en Irlande, à la mort de son père, le jeune Redmond Barry ambitionne de monter dans l'échelle sociale. Il élimine en duel son rival,un officier britannique amoureux de sa cousine mais est ensuite contraint à l'exil. Il s'engage dans l'armée britannique et part combattre sur le continent européen. Il déserte bientôt et rejoint l'armée prussienne des soldats de Frederic II afin d'échapper à la peine de mort. Envoyé en mission, il doit espionner un noble joueur, mène un double-jeu et se retrouve sous la protection de ce dernier. Introduit dans la haute société européenne, il parvient à devenir l'amant d'une riche et magnifique jeune femme, Lady Lyndon. Prenant connaissance de l'adultère, son vieil époux sombre dans la dépression et meurt de dépit. Redmond Barry épouse Lady Lyndon et devient Barry Lyndon...;Warner Bros. France;6 prix et 9 nominations;29/06/1999;3 502 470 entrées;11 000 000 $;-;5;4,3;7 critiques;14789 notes dont 935 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=135.html
Le Mans 66;13-nov-19;Biopic, Drame;2h 33min;James Mangold;Matt Damon, Christian Bale, Caitriona Balfe;américain;Basé sur une histoire vraie, le film suit une équipe d'excentriques ingénieurs américains menés par le visionnaire Carroll Shelby et son pilote britannique Ken Miles, qui sont envoyés par Henry Ford II pour construire à partir de rien une nouvelle automobile qui doit détrôner la Ferrari à la compétition du Mans de 1966.;Twentieth Century Fox France;3 prix et 7 nominations;18/03/2020;1 138 077 entrées;-;151545;3,8;4,3;33 critiques;10941 notes dont 622 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=262396.html
Fenêtre sur cour;25-avr-55;Policier, Thriller;1h 50min;Alfred Hitchcock;James Stewart, Grace Kelly, Wendell Corey;américain;A cause d'une jambe cassée, le reporter-photographe L. B. Jeffries est contraint de rester chez lui dans un fauteuil roulant. Homme d'action et amateur d'aventure, il s'aperçoit qu'il peut tirer parti de son immobilité forcée en étudiant le comportement des habitants de l'immeuble qu'il occupe dans Greenwich Village. Et ses observations l'amènent à la conviction que Lars Thorwald, son voisin d'en face, a assassiné sa femme. Sa fiancée, Lisa Fremont, ne le prend tout d'abord pas au sérieux, ironisant sur l'excitation que lui procure sa surveillance, mais finit par se prendre au jeu...;Carlotta Films;5 nominations;06/03/2001;3 070 983 entrées;2 000 000 $;16245;3,9;4,3;7 critiques;17605 notes dont 693 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=983.html
La Vérité;02-nov-60;Drame;2h 07min;Henri-Georges Clouzot;Brigitte Bardot, Paul Meurisse, Charles Vanel;italien;Dominique comparaît aux assises pour le meurtre de son amant, Gilbert, fiancé de sa soeur Annie. Elle doit se battre contre l'avocat, qui tente de ternir, contre son gré, la mémoire de Gilbert, et contre le procureur, qui essaie de la faire passer pour un monstre sans coeur aux yeux du jury... .;Les Acacias;-;02/08/2007;5 694 993 entrées;-;23504;4,9;4,3;7 critiques;1062 notes dont 111 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=3227.html
Rush;25-sept-13;Drame, Biopic;2h 03min;Ron Howard;Chris Hemsworth, Daniel Brühl, Olivia Wilde;britannique;RUSH retrace le passionnant et haletant combat entre deux des plus grands rivaux que l’histoire de la Formule 1 ait jamais connus, celui de James Hunt et Niki Lauda concourant pour les illustres écuries McLaren et Ferrari. Issu de la haute bourgeoisie, charismatique et beau garçon, tout oppose le play-boy anglais James Hunt à Niki Lauda, son adversaire autrichien, réservé et méthodique. RUSH suit la vie frénétique de ces deux pilotes, sur les circuits et en dehors, et retrace la rivalité depuis leurs tout débuts.;Pathé;1 prix et 7 nominations;29/01/2014;338 794 entrées;38 000 000 $;135124;4,1;4,3;21 critiques;11460 notes dont 1034 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=195370.html
Titanic;07-janv-98;Drame, Romance;3h 14min;James Cameron;Leonardo DiCaprio, Kate Winslet, Billy Zane;américain;"Southampton, 10 avril 1912. Le paquebot le plus grand et le plus moderne du monde, réputé pour son insubmersibilité, le ""Titanic"", appareille pour son premier voyage. Quatre jours plus tard, il heurte un iceberg. A son bord, un artiste pauvre et une grande bourgeoise tombent amoureux.";UFD;15 prix et 18 nominations;10/09/1999;20 634 793 entrées;200 000 000 $;92274;4,9;4,3;8 critiques;88100 notes dont 3457 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=5818.html
12 Years a Slave;22-janv-14;Drame, Historique;2h 13min;Steve McQueen (II);Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch;américain;Les États-Unis, quelques années avant la guerre de Sécession.Solomon Northup, jeune homme noir originaire de l’État de New York, est enlevé et vendu comme esclave.Face à la cruauté d’un propriétaire de plantation de coton, Solomon se bat pour rester en vie et garder sa dignité.;Mars Films;12 prix et 28 nominations;28/05/2014;1 696 935 entrées;20 000 000 $;138661;4,2;4,3;30 critiques;25064 notes dont 1763 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=196885.html
Captain Fantastic;12-oct-16;Comédie dramatique;1h 58min;Matt Ross;Viggo Mortensen, Frank Langella, George MacKay;américain;Dans les forêts reculées du nord-ouest des Etats-Unis, vivant isolé de la société, un père dévoué a consacré sa vie toute entière à faire de ses six jeunes enfants d’extraordinaires adultes.Mais quand le destin frappe sa famille, ils doivent abandonner ce paradis qu’il avait créé pour eux. La découverte du monde extérieur va l’obliger à questionner ses méthodes d’éducation et remettre en cause tout ce qu’il leur a appris.;Mars Films;3 prix et 15 nominations;14/02/2017;546 577 entrées;5.000.000$;145327;3,6;4,3;32 critiques;10040 notes dont 607 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=227320.html
Hors Normes;23-oct-19;Comédie;1h 55min;Eric Toledano, Olivier Nakache;Vincent Cassel, Reda Kateb, Hélène Vincent;français;"Bruno et Malik vivent depuis 20 ans dans un monde à part, celui des enfants et adolescents autistes. Au sein de leurs deux associations respectives, ils forment des jeunes issus des quartiers difficiles pour encadrer ces cas qualifiés ""d'hyper complexes"". Une alliance hors du commun pour des personnalités hors normes.";Gaumont Distribution;9 nominations;04/03/2020;2 108 551 entrées;-;148157;3,9;4,3;35 critiques;11402 notes dont 953 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=265905.html
Zootopie;17-févr-16;Animation, Famille, Comédie;1h 48min;Byron Howard, Rich Moore, Jared Bush;Marie-Eugénie Maréchal, Alexis Victor, Pascal Elbé;américain;Zootopia est une ville qui ne ressemble à aucune autre : seuls les animaux y habitent ! On y trouve des quartiers résidentiels élégants comme le très chic Sahara Square, et d’autres moins hospitaliers comme le glacial Tundratown. Dans cette incroyable métropole, chaque espèce animale cohabite avec les autres. Qu’on soit un immense éléphant ou une minuscule souris, tout le monde a sa place à Zootopia !Lorsque Judy Hopps fait son entrée dans la police, elle découvre qu’il est bien difficile de s’imposer chez les gros durs en uniforme, surtout quand on est une adorable lapine. Bien décidée à faire ses preuves, Judy s’attaque à une épineuse affaire, même si cela l’oblige à faire équipe avec Nick Wilde, un renard à la langue bien pendue et véritable virtuose de l’arnaque …;The Walt Disney Company France;5 prix et 4 nominations;29/06/2016;4 715 369 entrées;-;143822;4;4,3;28 critiques;25482 notes dont 1092 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=223207.html
Room;09-mars-16;Drame, Thriller;1h 58min;Lenny Abrahamson;Brie Larson, Jacob Tremblay, Joan Allen;britannique;Jack, 5 ans, vit seul avec sa mère, Ma. Elle lui apprend à jouer, à rire et à comprendre le monde qui l’entoure. Un monde qui commence et s’arrête aux murs de leur chambre, où ils sont retenus prisonniers, le seul endroit que Jack ait jamais connu. L’amour de Ma pour Jack la pousse à tout risquer pour offrir à son fils une chance de s’échapper et de découvrir l’extérieur, une aventure à laquelle il n’était pas préparé.;Universal Pictures International France;7 prix et 10 nominations;19/07/2016;-;-;143814;3,6;4,3;31 critiques;7705 notes dont 548 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=228263.html
Scarface;07-mars-84;Action, Drame;2h 45min;Brian De Palma;Al Pacino, Michelle Pfeiffer, Steven Bauer;américain;"En 1980, Tony ""Scarface"" Montana bénéficie d'une amnistie du gouvernement cubain pour retourner en Floride. Ambitieux et sans scrupules, il élabore un plan pour éliminer un caïd de la pègre et prendre la place qu'il occupait sur le marché de la drogue.";-;4 nominations;31/03/1998;794 085 entrées;25 000 000 $;58273;3,9;4,3;8 critiques;42957 notes dont 1904 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=900.html
Avatar;16-déc-09;Science fiction, Aventure;2h 42min;James Cameron;Sam Worthington, Zoe Saldana, Sigourney Weaver;américain;"Malgré sa paralysie, Jake Sully, un ancienimmobilisé dans un fauteuil roulant, est resté un combattant au plus profond de son être. Il est recruté pour se rendre à des années-lumière de la Terre, sur Pandora, où de puissants groupes industriels exploitent un minerai rarissime destiné à résoudre la crise énergétique sur Terre. Parce que l'atmosphère de Pandora est toxique pour les humains, ceux-ci ont créé le Programme Avatar, qui permet à des "" pilotes "" humains de lier leur esprit à un avatar, un corps biologique commandé à distance, capable de survivre dans cette atmosphère létale. Ces avatars sont des hybrides créés génétiquement en croisant l'ADN humain avec celui des Na'vi, les autochtones de Pandora.Sous sa forme d'avatar, Jake peut de nouveau marcher. On lui confie une mission d'infiltration auprès des Na'vi, devenus un obstacle trop conséquent à l'exploitation du précieux minerai. Mais tout va changer lorsque Neytiri, une très belle Na'vi, sauve la vie de Jake...";Twentieth Century Fox France;10 prix et 19 nominations;21/04/2010;14 677 888 entrées;237 000 000 $;124703;4,3;4,3;30 critiques;112338 notes dont 12068 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=61282.html
Dragons;31-mars-10;Animation, Aventure, Famille;1h 33min;Chris Sanders, Dean DeBlois;Donald Reignoux, Emmanuel Jacomy, Florine Orphelin;américain;L'histoire d'Harold, jeune Viking peu à son aise dans sa tribu où combattre les dragons est le sport national. Sa vie va être bouleversée par sa rencontre avec un dragon qui va peu à peu amener Harold et les siens à voir le monde d'un point de vue totalement différent.;Paramount Pictures France;1 prix et 9 nominations;05/11/2014;2 310 430 entrées;165 000 000 $;124842;3,9;4,3;20 critiques;23990 notes dont 2071 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=123534.html
Wall-E;30-juil-08;Animation, Aventure, Science fiction, Fantastique;1h 37min;Andrew Stanton;Ben Burtt, Elissa Knight, Jeff Garlin;américain;"Faites la connaissance de WALL•E (prononcez ""Walli"") : WALL•E est le dernier être sur Terre et s'avère être un... petit robot ! 700 ans plus tôt, l'humanité a déserté notre planète laissant à cette incroyable petite machine le soin de nettoyer la Terre. Mais au bout de ces longues années, WALL•E a développé un petit défaut technique : une forte personnalité. Extrêmement curieux, très indiscret, il est surtout un peu trop seul...Cependant, sa vie s'apprête à être bouleversée avec l'arrivée d'une petite ""robote"", bien carénée et prénommée EVE. Tombant instantanément et éperdument amoureux d'elle, WALL•E va tout mettre en oeuvre pour la séduire. Et lorsqu'EVE est rappelée dans l'espace pour y terminer sa mission, WALL•E n'hésite pas un seul instant : il se lance à sa poursuite... Hors de question pour lui de laisser passer le seul amour de sa vie... Pour être à ses côtés, il est prêt à aller au bout de l'univers et vivre la plus fantastique des aventures !";Walt Disney Studios Motion Pictures France;4 prix et 16 nominations;30/01/2009;3 191 767 entrées;180 000 000 $;120904;4,6;4,3;26 critiques;50655 notes dont 2844 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=123734.html
The Greatest Showman;24-janv-18;Drame, Comédie musicale;1h 44min;Michael Gracey;Hugh Jackman, Zac Efron, Michelle Williams;américain;The Greatest Showman célèbre la naissance du show-business et l’émerveillement que l’on éprouve lorsque les rêves deviennent réalité. Inspirée par l’ambition et l’imagination de P.T Barnum, voici l’histoire d’un visionnaire parti de rien qui a créé un spectacle devenu un phénomène planétaire.;Twentieth Century Fox France;1 prix et 3 nominations;02/05/2018;591 849 entrées;-;147891;2,7;4,3;25 critiques;8883 notes dont 854 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=170828.html
Mustang;17-juin-15;Drame;1h 33min;Deniz Gamze Ergüven;Güneş Nezihe Şensoy, Doğa Zeynep Doğuşlu, Elit İşcan;allemand;C'est le début de l'été.Dans un village reculé de Turquie, Lale et ses quatre sœurs rentrent de l’école en jouant avec des garçons et déclenchent un scandale aux conséquences inattendues.La maison familiale se transforme progressivement en prison, les cours de pratiques ménagères remplacent l’école et les mariages commencent à s’arranger.Les cinq sœurs, animées par un même désir de liberté, détournent les limites qui leur sont imposées.;Ad Vitam;10 prix et 18 nominations;21/10/2015;570 389 entrées;-;140545;4;4,3;22 critiques;6736 notes dont 456 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=228825.html
Sueurs froides;30-janv-59;Thriller, Drame;2h 09min;Alfred Hitchcock;James Stewart, Kim Novak, Barbara Bel Geddes;américain;Scottie est sujet au vertige, ce qui lui porte préjudice dans son métier de policier. Rendu responsable de la mort d'un de ses collègues, il décide de quitter la police. Une ancienne relation le contacte afin qu'il suive sa femme, possédée selon lui par l'esprit de son aïeule. Scottie s'éprend de la jeune femme et se trouve ballotté par des évènements qu'il ne peut contrôler.;-;2 nominations;31/03/1998;2 695 691 entrées;2 479 000 $;21096;3,8;4,3;5 critiques;10902 notes dont 600 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=980.html
Le Discours d'un roi;02-févr-11;Biopic, Historique, Drame;1h 58min;Tom Hooper;Colin Firth, Helena Bonham Carter, Derek Jacobi;britannique;D’après l’histoire vraie et méconnue du père de l’actuelle Reine Elisabeth, qui va devenir, contraint et forcé, le Roi George VI (Colin Firth), suite à l’abdication de son frère Edouard VIII (Guy Pearce). D’apparence fragile, incapable de s’exprimer en public, considéré par certains comme inapte à la fonction, George VI tentera de surmonter son handicap grâce au soutien indéfectible de sa femme (Helena Bonham Carter) et d’affronter ses peurs avec l’aide d’un thérapeute du langage (Geoffrey Rush) aux méthodes peu conventionnelles. Il devra vaincre son bégaiement pour assumer pleinement son rôle, et faire de son empire le premier rempart contre l’Allemagne nazie.;Wild Bunch Distribution;21 prix et 30 nominations;01/01/2012;3 024 322 entrées;15 000 000 $;128258;4;4,3;27 critiques;31466 notes dont 2565 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=175305.html
J’irai mourir dans les Carpates;16-sept-20;Comédie, Thriller;1h 36min;Antoine de Maximy;Antoine de Maximy, Alice Pol, Max Boublil;français;"L’histoire commence par un banal accident de voiture sur une route montagneuse des Carpates. La voiture d'Antoine de Maximy, le présentateur de la série ""J'irai dormir chez vous"" a été emportée dans une rivière et son corps n’a pas été retrouvé. Le matériel et les images du globe-squatteur sont rapatriés à Paris. Agnès, la monteuse de la série, décide de terminer ce dernier épisode. Après avoir visionné les images elle s’attaque au montage du film. Mais des détails attirent l'attention d'Agnès. Petit à petit le doute s'insinue. L’histoire n’est peut-être pas aussi simple...";Apollo Films;-;-;-;-;151681;2,5;4,3;15 critiques;1770 notes dont 709 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=274282.html
Là-haut;29-juil-09;Animation, Famille, Fantastique;1h 35min;Pete Docter, Bob Peterson;Charles Aznavour, Tom Trouffier, Lou Levy;américain;Des studios Disney-Pixar arrive la comédie d'aventure «Up», qui suit un vendeur de ballons de 78 ans, Carl Fredricksen, au moment où il réalise enfin le rêve de sa vie. Son désir de vivre une grande aventure le pousse à attacher des milliers de ballons à sa maison pour s'envoler vers les régions sauvages de l'Amérique du Sud. Mais il s'aperçoit trop tard de la présence d'un colis ayant la forme de son pire cauchemar : Russell, un jeune explorateur de 8 ans un peu trop optimiste, l'accompagnera dans son voyage.;Walt Disney Studios Motion Pictures France;10 prix et 16 nominations;16/12/2009;4 409 110 entrées;175 000 000 $;123665;4,6;4,3;25 critiques;45058 notes dont 2363 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=130368.html
Call Me By Your Name;28-févr-18;Drame, Romance;2h 11min;Luca Guadagnino;Armie Hammer, Timothée Chalamet, Michael Stuhlbarg;brésilien;Été 1983. Elio Perlman, 17 ans, passe ses vacances dans la villa du XVIIe siècle que possède sa famille en Italie, à jouer de la musique classique, à lire et à flirter avec son amie Marzia. Son père, éminent professeur spécialiste de la culture gréco-romaine, et sa mère, traductrice, lui ont donné une excellente éducation, et il est proche de ses parents. Sa sophistication et ses talents intellectuels font d’Elio un jeune homme mûr pour son âge, mais il conserve aussi une certaine innocence, en particulier pour ce qui touche à l’amour. Un jour, Oliver, un séduisant Américain qui prépare son doctorat, vient travailler auprès du père d’Elio. Elio et Oliver vont bientôt découvrir l’éveil du désir, au cours d’un été ensoleillé dans la campagne italienne qui changera leur vie à jamais.;Sony Pictures Releasing France;4 prix et 16 nominations;04/07/2018;333 578 entrées;-;144798;4,2;4,3;35 critiques;7258 notes dont 532 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=252439.html
