titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
Le Prestige;15-nov-06;Thriller, Drame;2h 08min;Christopher Nolan;Hugh Jackman, Christian Bale, Michael Caine;britannique;Londres, au début du siècle dernier...Robert Angier et Alfred Borden sont deux magiciens surdoués, promis dès leur plus jeune âge à un glorieux avenir. Une compétition amicale les oppose d'abord l'un à l'autre, mais l'émulation tourne vite à la jalousie, puis à la haine. Devenus de farouches ennemis, les deux rivaux vont s'efforcer de se détruire l'un l'autre en usant des plus noirs secrets de leur art. Cette obsession aura pour leur entourage des conséquences dramatiques...;Warner Bros. France;5 nominations;06/06/2007;193 882 entrées;40 000 000 $;116568;3,2;4,3;29 critiques;35506 notes dont 2811 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=108998.html
E.T. l'extra-terrestre;01-déc-82;Science fiction, Famille, Aventure;2h 00min;Steven Spielberg;Henry Thomas, Drew Barrymore, Dee Wallace;américain;Une soucoupe volante atterrit en pleine nuit près de Los Angeles. Quelques extraterrestres, envoyés sur Terre en mission d'exploration botanique, sortent de l'engin, mais un des leurs s'aventure au-delà de la clairière où se trouve la navette. Celui-ci se dirige alors vers la ville. C'est sa première découverte de la civilisation humaine. Bientôt traquée par des militaires et abandonnée par les siens, cette petite créature apeurée se nommant E.T. se réfugie dans une résidence de banlieue.Elliot, un garçon de dix ans, le découvre et lui construit un abri dans son armoire. Rapprochés par un échange télépathique, les deux êtres ne tardent pas à devenir amis. Aidé par sa soeur Gertie et son frère aîné Michael, Elliot va alors tenter de garder la présence d'E.T. secrète.;United International Pictures (UIP);7 prix et 22 nominations;29/10/2002;9 420 339 entrées;10 500 000 $;56129;4,8;4,3;12 critiques;57525 notes dont 1255 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=29718.html
J'ai rencontré le Diable;06-juil-11;Thriller, Drame;2h 22min;Jee-Woon Kim;Lee Byung-Hun, Min-sik Choi, Oh San-ha;sud-coréen;Un agent secret recherche lequi a tué sa fiancée...;ARP Sélection;3 prix et 12 nominations;-;28 344 entrées;-;129747;4,2;4,3;19 critiques;4724 notes dont 656 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=185542.html
Rain Man;15-mars-89;Comédie dramatique;2h 13min;Barry Levinson;Dustin Hoffman, Tom Cruise, Valeria Golino;américain;A la mort de son père, Charlie Babbitt, homme d'affaires pressé, hérite d'une vieille Buick qu'il convoitait depuis longtemps mais se voit spolié de quelque trois millions de francs versés à l'Institution psychiatrique Wallbrook au profit d'un bénéficiaire anonyme. Charlie se rend a Wallbrook et découvre l'heureux bénéficiaire. Il s'agit de Raymond, savant autiste, celui qu'il appelait dans son enfance, qui représente ses seuls souvenirs heureux et qui n'est autre que son frère.;United International Pictures (UIP);7 prix et 14 nominations;27/01/1999;6 473 196 entrées;25 000 000 $;-;3,6;4,3;5 critiques;38716 notes dont 938 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4572.html
La Grande évasion;11-sept-63;Aventure, Drame;2h 49min;John Sturges;Steve McQueen, Charles Bronson, James Donald;américain;Durant la Seconde Guerre Mondiale, des officiers alliés récidivistes de l'évasion sont prisonniers et surveillés étroitement dans un stalag. Malgré cela, ils préparent une évasion massive. Avant même que l'alerte ne soit déclenchée, soixante-quinze d'entre eux parviennent à s'échapper...;Swashbuckler Films;-;29/09/1999;8 755 029 entrées;4 000 000 $;27894;3,8;4,3;5 critiques;11306 notes dont 382 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=38827.html
3 Billboards, Les Panneaux de la vengeance;17-janv-18;Drame;1h 56min;Martin McDonagh;Frances McDormand, Woody Harrelson, Sam Rockwell;américain;Après des mois sans que l'enquête sur la mort de sa fille ait avancé, Mildred Hayes prend les choses en main, affichant un message controversé visant le très respecté chef de la police sur trois grands panneaux à l'entrée de leur ville.;Twentieth Century Fox France;16 prix et 19 nominations;09/05/2018;894 653 entrées;-;147890;3,9;4,3;35 critiques;10955 notes dont 766 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=245010.html
Dragons 2;02-juil-14;Animation, Aventure, Famille;1h 43min;Dean DeBlois;Donald Reignoux, Emmanuel Jacomy, Julien Kramer;américain;Tandis qu’Astrid, Rustik et le reste de la bande se défient durant des courses sportives de dragons devenues populaires sur l’île, notre duo désormais inséparable parcourt les cieux, à la découverte de territoires inconnus et de nouveaux mondes. Au cours de l’une de leurs aventures, ils découvrent une grotte secrète qui abrite des centaines de dragons sauvages, dont le mystérieux Dragon Rider. Les deux amis se retrouvent alors au centre d’une lutte visant à maintenir la paix. Harold et Krokmou vont se battre pour défendre leurs valeurs et préserver le destin des hommes et des dragons.;Twentieth Century Fox France;1 prix et 4 nominations;05/11/2014;3 366 761 entrées;145 000 000 $;139844;4;4,3;31 critiques;16595 notes dont 1211 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=181290.html
Hatchi;09-juin-10;Drame, Famille;1h 33min;Lasse Hallström;Richard Gere, Joan Allen, Sarah Roemer;américain;Pour Parker, professeur de musique à l'université, l'arrivée du chien Hatchi dans la famille fut un heureux événement. L'animal prit sa place auprès de chacun, mais c'est avec Parker qu'il passait le plus de temps. Chaque matin, le chien accompagnait son maître à la gare où il prenait son train, et chaque soir, l'animal venait l'y attendre. Cet attendrissant rituel rythmait la vie de tous ceux qui en étaient témoins... jusqu'au jour tragique où Parker ne revint pas. Hatchi continua à l'attendre. Il l'attendit chaque jour, jusqu'à la fin. À force de fidélité et de patience, l'animal devint non seulement une légende, mais il bouleversa tous ceux qui connurent son histoire.;Metropolitan FilmExport;-;19/10/2010;184 437 entrées;16 000 000 $;122531;2,2;4,3;15 critiques;4599 notes dont 1040 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=128959.html
Toy Story 4;26-juin-19;Animation, Aventure, Famille, Comédie;1h 40min;Josh Cooley;Jean-Philippe Puymartin, Richard Darbois, Audrey Fleurot;américain;Woody a toujours privilégié la joie et le bien-être de ses jeunes propriétaires – Andy puis Bonnie – et de ses compagnons, n’hésitant pas à prendre tous les risques pour eux, aussi inconsidérés soient-ils. L’arrivée de Fourchette un nouveau jouet qui ne veut pas en être un dans la chambre de Bonnie met toute la petite bande en émoi. C’est le début d’une grande aventure et d’un extraordinaire voyage pour Woody et ses amis. Le cowboy va découvrir à quel point le monde peut être vaste pour un jouet…;The Walt Disney Company France;2 prix et 4 nominations;-;4 596 424 entrées;-;150963;4,2;4,3;35 critiques;9151 notes dont 578 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=218956.html
L'Insulte;31-janv-18;Drame;1h 49min;Ziad Doueiri;Adel Karam, Kamel El Basha, Diamand Abou Abboud;américain;A Beyrouth, de nos jours, une insulte qui dégénère conduit Toni (chrétien libanais) et Yasser (réfugié palestinien) devant les tribunaux. De blessures secrètes en révélations, l'affrontement des avocats porte le Liban au bord de l'explosion sociale mais oblige ces deux hommes à se regarder en face.;Diaphana Distribution;1 prix et 5 nominations;03/07/2018;-;-;144359;3,8;4,3;24 critiques;1406 notes dont 153 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=252485.html
